exp(coef)	exp(-coef)	lower95%	upper95%	p-value
AC007846.2	0.896605132407835	1.1153181750304	0.421227813067287	1.90847028263933	0.780650767786646
AC007906.2	0.994066737014004	1.00596867671462	0.666992132051586	1.48152973648757	0.976680274362258
AC007998.2	NA	NA	NA	NA	NA
AC008012.1	1.55203744469708	0.644314351703787	0.865215606650951	2.78406932471528	0.11560153191177
AC008073.3	0.854788298350844	1.16988031063284	0.619956552843542	1.17857135576068	0.344694258879597
AC008162.2	NA	NA	NA	NA	NA
AC008397.1	1.17249675099675	0.852880828155718	0.834841037599442	1.64671903893343	0.352441507686592
AC008397.2	0.658324079896651	1.51900869273533	0.455068254402129	0.952363936572906	0.0271633038679963
AC008403.1	NA	NA	NA	NA	NA
AC008481.3	NA	NA	NA	NA	NA
AC008537.1	NA	NA	NA	NA	NA
AC008575.1	1.1643922467867	0.858817123490508	0.596397744182942	2.27333070522326	0.648156760392393
AC008581.2	0.802153318821111	1.24664447124604	0.582887106015803	1.10390149353943	0.182251486926952
AC008676.3	0.679712566844838	1.47121010965253	0.454718197764393	1.01603405317459	0.0589908791053207
AC008687.1	NA	NA	NA	NA	NA
AC008687.4	0.832349027575615	1.20141907645727	0.557358650203226	1.24301453553015	0.369843732524154
AC008687.8	0.693312833135032	1.4423503391365	0.325743919617016	1.47564591583129	0.368459098650191
AC008695.1	NA	NA	NA	NA	NA
AC008750.7	0.815596837203883	1.22609597583569	0.586120139185998	1.13491783746043	0.235201708845913
AC008758.1	NA	NA	NA	NA	NA
AC008758.5	1.00755693955733	0.992499739458247	0.627144550971217	1.61871929665658	0.975146495670031
AC008758.6	0.857454425945592	1.16624274100307	0.60619096440702	1.21286547596909	0.387478613010705
AC008763.2	1.23357659505286	0.810650918646159	0.855827872810265	1.77805755597254	0.249905969132407
AC008763.3	NA	NA	NA	NA	NA
