,H2AZ1,NUDC,HSP90AB1,MARCKSL1,HTATIP2,ZWINT,RTL8C,SPP2,TPI1,SRM,FAM50A,ADH1C,NPM1,S100A16,LAPTM4B,H2AX,CDC20,GSR,PPIA,RPN2,TIMM23,BRK1,LAGE3,class
TCGA-DD-A3A7,-0.023647210536329427,-0.08535077834066478,0.023351357554316676,-0.00774539857223982,-0.09986513051817464,-0.018847091907126225,0.009437867721918188,2.3024451764085933e-05,0.02578376686651167,-0.0778853743493537,-0.01651859621383929,0.006573404817098019,-0.016573566417815985,0.032128165532118655,-0.0018289569873345152,-0.022960213968147253,-0.017263998542485264,-0.040724245558109655,-0.09423303211506168,0.017901697540904003,-0.03747815975521839,0.011341212061973135,-0.0021741079906009396,0
TCGA-CC-5264,-0.05532511793211296,-0.06943495445280748,0.08758522216894518,-0.024098625098365165,-0.20231811140026307,-0.24177964299887514,0.02667815452182818,4.689393567189442e-05,0.12927036475237824,-0.02738723667973587,-0.02528686177525181,0.009803457056856998,-0.0222672786961708,0.024068140772785452,-0.010098802237255776,-0.03974157810255854,-0.05174595277849944,-0.11453270522785118,-0.10552695664659499,0.048895597955502294,-0.12622622377771422,0.04117159081925635,-0.004582666527918028,0
TCGA-DD-AAD5,-0.0665769950432155,-0.05302648108299307,0.0630148304306635,-0.013558887829783957,-0.28127296522867734,-0.03232448356245881,0.007423486230086701,1.2795819011748105e-05,0.03997687358474278,-0.10320185665681708,-0.00962596220478473,0.03146522487595468,-0.06096716406971906,0.03975246005530931,-0.021251852253288035,-0.022601713282747325,-0.022341510994870643,-0.05337071631593162,-0.13994825437937897,0.03322312262703085,-0.06610139198484356,0.03498220257535698,-0.001995502227328814,1
TCGA-DD-AACF,-0.024066629791413423,-0.048597064975384595,0.037922113463618345,-0.00932705887645926,-0.15143394643313698,-0.057899539654561724,0.015182735653764854,0.007578456848787405,0.06275293885268186,-0.05625230168517219,-0.015287440660192492,0.04894793491338668,-0.025108136548521034,0.0330795385852615,-0.0054394142796299234,-0.01194231826838955,-0.007765823455394539,-0.024059194815702786,-0.07806646632954607,0.022290185053328523,-0.06766309900474768,0.03181110144219624,-0.0022298500964147002,0
TCGA-DD-A1EE,-0.027509436100301158,-0.06112519787659259,0.09926268804744437,-0.013315905561712181,-0.2675689277490162,-0.020362451573656962,0.0008850943973704188,0.00018523051107351225,0.04617429544187077,-0.043580354613490226,-0.010275289157608865,0.024594814355400542,-0.044118068653530344,0.013815446335918604,-0.006715637096100405,-0.009036836194569917,-0.0041084583258646345,-0.05985497503343806,-0.07028589027879079,0.023976685118899596,-0.05918356583677428,0.026864489327605,-0.0010797164938763132,0
TCGA-XR-A8TD,-0.05040656273672179,-0.04638081227414147,0.024722696036599334,-0.010811134229103049,-0.09094288157140819,-0.019504695939888624,0.008440969920563247,0.0030619793210833668,0.04647029207865353,-0.0308445209991801,-0.00704813198870982,0.002551677103699011,-0.012403488204564566,0.009581476850789354,-0.003147037623514659,-0.017704550165789167,-0.025628970410353988,-0.03234643857540121,-0.06245435203963711,0.027866389806300653,-0.07249920322799194,0.025019014392727936,-0.001377833095064764,1
TCGA-BC-A10Z,-0.015898828873338083,-0.06333292710160664,0.044177174644261616,-0.01336929177452178,-0.13722568631870322,-0.030867178203971782,0.005632513876507043,0.013495866637318107,0.036967171781115436,-0.031911439654475536,-0.006719456791691026,0.06000486558139518,-0.015254681566524696,0.005239375817163725,-0.0047811903118379516,-0.01262263570065507,-0.008267901714747904,-0.08883526310498716,-0.04958649454775524,0.027931254041248525,-0.08426282082581912,0.02781028252755036,-0.0005974594102306158,0
TCGA-CC-A8HV,-0.027179617977804587,-0.0373571680382154,0.04310212625663698,-0.06321120209748442,-0.12206532565427909,-0.0338645389368656,0.008737996909212911,5.87644979693134e-05,0.01976366655861993,-0.04135445996474474,-0.014888232959265064,0.005041147146268919,-0.02108896138964088,0.02145010037878129,-0.004296350478155727,-0.011312984218287562,-0.014369930918130802,-0.020222194943878103,-0.05529578090772925,0.02014927586000522,-0.08759029715194991,0.03778603059493551,-0.0009963541055218906,0
TCGA-DD-A4NO,-0.01055984510777927,-0.02761215483811505,0.05376975942642898,-0.010300675443978849,-0.21103438909443428,-0.006290940663400426,0.0012396150351992165,0.004629759969705224,0.025212820694449287,-0.029482411694089144,-0.00530283985551251,0.16544535561119514,-0.02472962157939257,0.012081747573540785,-0.0003282775727505828,-0.008821837242796952,-0.0009475533832925034,-0.030296488701519412,-0.04615591208376972,0.04021738342785422,-0.055736346219596326,0.017192211163028083,-0.001058815672408419,1
TCGA-DD-AACU,-0.016441514802831955,-0.07689802090998636,0.07626519130773471,-0.018825645677408614,-0.26289757486644916,-0.015089206809169796,0.0060616407133197645,0.012290821384693862,0.04922992330200816,-0.05369143797329667,-0.014514073150677575,0.02969304594115266,-0.0356272629463297,0.015374969987123028,-0.002619057649964253,-0.008486069819219944,-0.006624172007006233,-0.039905717342125537,-0.06026212223011938,0.030570594065709764,-0.0577324307692062,0.046593496075267235,-0.0008488873081967368,1
