,FAM50A,RAMP3,CKS2,SPP2,HSPA8,MTARC2,PRDX1,RAB10,MMP12,PSMA7,SEC61A1,VASP,RPN2,PAEP,H2AZ1,HDGF,CD63,HTATIP2,APEX1,PKM,PPIA,class
TCGA-DD-A1EA,-0.011573408014628713,0.010992317040649732,-0.02481605122821158,7.129024440921366e-06,-0.09459764242127262,0.21619067980480333,-0.009058627796992265,-0.036892642812084445,0.0003714945096746855,-0.04867488494936937,-0.12953660561555022,0.01571524866501656,0.11089799908176827,1.1715612568912716e-05,-0.01448534621784715,-0.036158947734666824,0.020148681713032197,-0.07416529693485065,-0.059966699284153255,0.007521011133577806,-0.0464109943903749,1
TCGA-BC-A10T,-0.007097093593566098,0.030993575433110144,-0.04657916979971785,0.0003406355882284392,-0.0874585250813493,0.12150546949408148,-0.006773437309177498,-0.03487424321733061,0.0001167099200781875,-0.034121393833914895,-0.08311187489346389,0.012302829828094426,0.09766282071449227,1.2993223918195428e-05,-0.015517634083561393,-0.024702087963399278,0.02397835246363725,-0.05871461530472286,-0.053406001706603014,0.007945327797399353,-0.05669267040622302,1
TCGA-DD-A4NK,-0.004028228325646462,0.018695659408233957,-0.01967314708290391,0.00022737011468733538,-0.07769225953558885,0.3356853110156236,-0.006183031519326288,-0.019698197939158384,2.3388429123116026e-05,-0.03724683358596727,-0.08619718452416186,0.008680462974626628,0.0784379987270588,0.0,-0.010397569259176566,-0.017700786748194055,0.014815112399085848,-0.03952754465469142,-0.05123855850361332,0.0019012352851593512,-0.08454975701171623,1
TCGA-FV-A4ZP,-0.030203882302011435,0.01797791916362236,-0.15203122373292727,4.791008952123141e-07,-0.047486396012301,0.007199393070699281,-0.0032994374984636936,-0.007145566978596327,0.0005114933336456779,-0.06479684879334376,-0.16966703462945643,0.05168558966465535,0.16808292141722342,1.7160074005071726e-05,-0.039726830708259414,-0.05267472306023573,0.0943804046401119,-0.027295333132874154,-0.010900167430680204,0.03298765776505522,-0.14266831796383841,1
TCGA-BC-A10Y,-0.009955822856197893,0.01732456462234248,-0.08591434753068466,0.0003537568840419118,-0.0874693514095758,0.3540069921618432,-0.012335482136291962,-0.02356469908296993,0.0002771777664165027,-0.09934591086779698,-0.17811967404139098,0.015953747487101322,0.15232588241621955,4.9542928988851856e-05,-0.028821221025584907,-0.03820008169692194,0.022453684619964078,-0.019278261242754013,-0.06787841861118289,0.009140308129126543,-0.05446126255289644,1
TCGA-BC-4072,-0.012783632722166748,0.02948976222425904,-0.10614421547904561,0.00019246283282265254,-0.08311759562238971,0.10811804508542612,-0.0090279416289575,-0.05071499240048854,0.027765880502967317,-0.0797474844233905,-0.11449008291266152,0.03045808787874172,0.2146223792971252,0.0015519387221365403,-0.043122847606383505,-0.022800721969440652,0.059003317502555865,-0.057286306266979926,-0.06588332113335045,0.03118892659256403,-0.13405110740153703,1
TCGA-CC-A1HT,-0.02156062572193127,0.047642460203247375,-0.2614435075782484,3.314392223635823e-07,-0.15737423916840126,0.07160609254362711,-0.027724909978730547,-0.08441581984780669,0.030311437318635143,-0.08525330033717449,-0.27215683173412547,0.06032099105782647,0.23406185514902683,0.00022797429703769501,-0.12036664142793561,-0.08337438675188236,0.11378120277549716,-0.10649781893887171,-0.07731447888835018,0.12251514712591938,-0.1984795430287034,0
TCGA-DD-AACW,-0.001929022675707099,0.03651162755945298,-0.08276259303778237,0.0008259846081080451,-0.05974402191834563,0.09417930519562903,-0.003069160268119986,-0.023373507802906254,2.40187555817532e-05,-0.030832778671267443,-0.12245804802093765,0.015045477752439619,0.10325468084022225,0.0,-0.01689087071596853,-0.04438357649458045,0.036430817110697136,-0.010491223038149956,-0.08954060107435888,0.0042162295646587635,-0.0709284900805656,1
TCGA-DD-AAEK,-0.0040200267365268355,0.02910616157797238,-0.030690923564705222,0.00028014297688970253,-0.07492216709774402,0.08698596684040293,-0.005415825909639507,-0.03025780832079413,0.00033029106432587685,-0.05038087259866701,-0.12352076897483949,0.023930399906578036,0.19271030186938365,6.513312761049122e-06,-0.016339952354265802,-0.03241709321575955,0.03813823979197528,-0.03011860358469154,-0.05761952816679034,0.009244406288171563,-0.05505377589261329,1
TCGA-CC-A3MA,-0.029257549667577928,0.03201165894901049,-0.14711686040979224,3.199359646271838e-05,-0.16146905825443753,0.08179864542093165,-0.011115293850339904,-0.05525387581394698,0.00014961959623440184,-0.0696783319421649,-0.1933634278702201,0.05627093756386443,0.14301627204678394,0.0,-0.046623744061631216,-0.06846479272988969,0.03967550431538962,-0.04298138835405844,-0.07158403422872037,0.0335525277354968,-0.1437262747294675,0
