,SMG5,SEC14L2,ARCN1,LDHD,KIAA2013,CDC20,DRAP1,HSPD1,PSMA7,HSPA8,MMP12,HMGA1,CKS2,RPN2,SPP2,G6PD,ADH1A,S100A16,PPIA,GSR,SEC61A1,DSG2,ATF4,class
TCGA-DD-AAED,-0.030296737464649153,0.0010584019964261723,0.014515351509154856,0.00715055977924022,-0.0007827365122265103,-0.003973824906946501,-0.03689935430223437,-0.07056519086898065,-0.01042722709020334,-0.010883668964815905,2.6966741774243726e-05,0.003416052486170638,-0.009500168538245105,0.07390523614587255,0.004503105518514254,-0.0005581230168205467,0.006327383374268657,0.04389209283442962,-0.06867333914316451,-0.011361622576769159,-0.0973239556528624,0.0045532922498324625,-0.035622280781446185,1
TCGA-DD-A115,-0.017573719795231955,0.017983610603321015,0.0348822507777983,0.054847973118209936,-0.0008956333671847703,-0.013199738450479174,-0.03686067015247439,-0.04659776252682723,-0.03057820992110756,-0.10950730235310305,0.0006249860252392962,0.0008970486906774821,-0.04219182578574871,0.2106209099420824,0.0006388857788501719,-0.0008210007162361151,0.020412675499241074,0.01390150780124651,-0.04761857542280912,-0.009759033162100328,-0.1798822650827139,0.0035262438524172072,-0.008030488032187227,1
TCGA-GJ-A9DB,-0.038847540507990205,0.013885628522776347,0.028501497317308524,0.06269887120650396,-0.0013249641401262815,-0.00906863826310949,-0.02263048226287907,-0.05480735106780689,-0.03604667386528048,-0.10904720540827195,0.0021710569152986045,0.002070808643191252,-0.022387658490162148,0.19985441705912171,0.0035143927306270873,-0.0035853745453758253,0.025691387589293492,0.029185418815538232,-0.07493052118170032,-0.0361816424576762,-0.19915410760376973,0.006080149031200149,-0.02598209277900291,0
TCGA-G3-A3CH,-0.027980479308857425,0.014183305812782437,0.02001072668168489,0.019432929276465102,-0.0004623778948867327,-0.005338683153202381,-0.02259337233345642,-0.07359986908165171,-0.024048204746251637,-0.09459216490859525,0.0,0.0011533336413131752,-0.01928523542706477,0.10164820448987395,0.003333906874746588,-0.0007658180685317724,0.0011871183901141617,0.02331638344325353,-0.07991054154807825,-0.019533609035550997,-0.0981682656697103,0.0026133744949976383,-0.015415874612513671,1
TCGA-2Y-A9H8,-0.06998323761961904,0.007607578938356995,0.017303005150964234,0.026361942182248178,-0.0008028474682028544,-0.016506032215651063,-0.029862658845265663,-0.09553446974015029,-0.028732678032100136,-0.08292875006865805,0.0019090178066436703,0.0016316744708607166,-0.025659207121745378,0.23170747512664536,0.0022003463454826904,-0.0018054391838761695,0.001316904174725708,0.0076281902922710676,-0.06718510181003483,-0.0046907836575103366,-0.09088496341995554,0.0024323564472770003,-0.011708684392457914,0
TCGA-DD-A73G,-0.04861602236197525,0.002504253242105871,0.009951088450597017,0.04049483256895733,-0.0005722607722410066,-0.006914652567044601,-0.03524274205048421,-0.05481961491017423,-0.0577073820354762,-0.07458747977204658,0.0,0.00283852882973732,-0.03272455352512671,0.20085823412238119,0.0041370133880027134,-0.0009896572213291988,0.01439627403762792,0.028974554011374547,-0.10312839579282514,-0.004430269256817346,-0.24927643936035745,7.149624333212636e-05,-0.03722010806035306,1
TCGA-DD-A4NI,-0.01579536770431507,0.012427871291743591,0.016032666465922028,0.030075188299227767,-0.0004349376417477713,-0.0005594361293416713,-0.01155873597714599,-0.04258528241353216,-0.021148713952483987,-0.035084730760123556,4.188878498927189e-05,0.00043607804690344896,-0.009206921720576279,0.10128763578044056,0.01238647105908163,-0.0003293487382518644,0.03487732867130814,0.01541688002440631,-0.04542188946981655,-0.007973278362285823,-0.06034981163904113,0.0019071635703448023,-0.006610289893713459,1
TCGA-DD-A39Z,-0.0488652988897071,0.0018699587611015788,0.015000184509917776,0.018882284800828292,-0.0007288635666927359,-0.009731725404764502,-0.03632483333000609,-0.05648692260452129,-0.026601982041824006,-0.0588949091255541,0.0,0.002033843300267602,-0.026202907952242213,0.18029341584177178,0.0019159916821129453,-0.0008360670312343402,0.01355254178539666,0.027742344861886883,-0.13647353175852334,-0.007657917080388544,-0.160227459064173,2.789223522978444e-06,-0.02199239135139795,0
TCGA-ED-A459,-0.05986498523875271,0.0028079734073724566,0.05232766371288612,0.01644420131322374,-0.00115076058693012,-0.01963067218545796,-0.03106564098657487,-0.1481538746806092,-0.04672294759891047,-0.1540783891358679,6.537594717974222e-05,0.003977324279274737,-0.043609627707373776,0.20902317731707312,3.654197972669046e-05,-0.009247631537163615,2.4236151578498183e-05,0.028150692308895227,-0.08878769855534749,-0.022204469879597587,-0.29972637002316155,0.008152132681467007,-0.019394649665092658,1
TCGA-BC-A10U,-0.04128069485036869,0.009564433416019093,0.039087993307437126,0.03777250242136378,-0.0014474306459968365,-0.005528590091646629,-0.027820131107878822,-0.06049346241916968,-0.02706456632908832,-0.059192223050416645,0.00013737647856705302,0.0024811255839354415,-0.012466030583310432,0.15996249357257422,0.0030632749336282944,-0.006066029695693537,0.004553753332787257,0.036865963879285514,-0.1072628419751895,-0.016612407804424537,-0.252905678586377,0.0017112526043638577,-0.020626920514910156,1
TCGA-FV-A3R2,-0.06097182687981103,0.017958775353966675,0.0336460082933993,0.04147941753800012,-0.0011906114640947364,-0.014260161526637108,-0.04062655245385438,-0.12674781688476236,-0.08161091413094194,-0.12844697025789287,0.0005754020161705255,0.002895918149159176,-0.01914557828878584,0.24557008122660265,0.0012047054083991387,-0.0021008546780318807,0.006739373824859988,0.036029782680190234,-0.15305682423987071,-0.014736047945267117,-0.30348499389181993,0.005563375003250152,-0.04453425054034642,0
TCGA-DD-AACH,-0.14523702440169425,0.0012883354743014584,0.048485001483509815,0.019062298786491523,-0.0007010196364089807,-0.03723682721166872,-0.04132055211962621,-0.11452201159101634,-0.048415272820095445,-0.1815020671900536,0.0013802555398941074,0.005296951767642977,-0.10696188732042738,0.23705385926384234,6.422340874592216e-05,-0.02126234838636195,0.006807648412245539,0.04835406128730458,-0.20428677439096823,-0.0462184228774038,-0.24541686538098897,0.013313961854234795,-0.04134783648310048,0
