"","ABCC5","ALPL","ASH2L","B3GNT7","CBR1","CD14","CD59","COL18A1","COL5A1","EIF1AX","ELN","EPHA2","ERH","FASN","FGA","LAMB3","MAGEA1","MYADM","MYEOV","PDGFA","PFDN2","RBBP7","RBM38","RGCC","RPL36AL","RPL37","RPS21","RTCB","TM9SF2","class"
"GSM1933027",0.000128789095924889,-0.00595837017670792,0.00969965415957844,0.00551428517762246,0.00100267859602015,-0.00546015778540323,-0.00396961507539031,0.000893620210153352,0.00058158527442498,0.00257298291412159,-0.00135251257958189,-0.00842300086338924,0.00844786136843562,-0.00197617928286223,-0.000510829893362989,-0.000507332088736901,-6.66062653231563e-05,-0.00479636042337742,-0.00705343474162888,-0.000253745303921859,0.0024105397670307,0.00109704873199141,0.00197490462627995,-0.00520413153711738,0.0062110499355152,0.00110435138242387,-0.00118062009491221,0.00550978655542031,-0.00431152537830576,1
"GSM1933028",0.000109053251736963,-0.00573022785093835,0.00911636900515798,0.00551380533881021,0.000854959919954946,-0.00474532993314098,-0.00455130200545714,0.000897257934059444,0.000584530250783924,0.0024814888967936,-0.00135331105548081,-0.00887077753316822,0.00825473896221361,-0.00202355960966808,-0.000516637513201587,-0.000576816892367559,-6.98171499219144e-05,-0.00493328223233225,-0.00722867673282051,-0.00027792074287055,0.00246316561581627,0.00115975734083069,0.00200443710495247,-0.00510285549583893,0.00578425872279781,0.00124201323844521,-0.00116918495780995,0.00592104280853536,-0.00428525461901431,0
"GSM1933029",0.000139887719231659,-0.00551924052721998,0.0102794555879496,0.00588035326306253,0.00115414232667364,-0.00516777740259391,-0.00426708293866479,0.000904149890546862,0.000559034940781827,0.00270250356435247,-0.00132917985344621,-0.00950878125905297,0.00888844185604672,-0.0021411308250974,-0.000518157595902852,-0.000654386738915841,-7.98644724240102e-05,-0.00551760802839325,-0.00842149276788896,-0.000285104555754605,0.00273714661710305,0.00118874552473219,0.00201920575136768,-0.00519704822427815,0.00617865244016768,0.00116516492641935,-0.00129003680137712,0.00565037650741398,-0.00421578894283008,1
"GSM1933030",0.000112523395513222,-0.00536341721357293,0.00969603356298779,0.00561244318267273,0.00128701124209985,-0.00486610231025944,-0.0038462965446517,0.000912370017969334,0.00055760561191066,0.00241636685391303,-0.00137246985664465,-0.00822147161606392,0.00772919822832385,-0.00194685642455924,-0.000506135541083914,-0.000498309654244487,-6.84140905088274e-05,-0.00500074601719874,-0.00720028100983362,-0.000260144584699825,0.00243244379956337,0.00111315751429342,0.00198153066558048,-0.00537224881420966,0.00576537511083824,0.00118805967939905,-0.00124326999814486,0.00528341582705745,-0.00408450525783452,1
"GSM1933031",0.000127761310211087,-0.00620837072684085,0.00986086120465298,0.00546939647732689,0.000921911483151183,-0.0047879003288466,-0.00419206285070292,0.000932792597259629,0.000626280430912131,0.00252006546770467,-0.00134366348269194,-0.00879163861219356,0.00833122795054152,-0.00200942786893533,-0.000505916336639429,-0.000586514135419867,-6.91377203146439e-05,-0.00502441199734445,-0.00731850590928905,-0.000266049143203719,0.00243601721982719,0.00112263812593147,0.00200303765524233,-0.00522119001331816,0.00617826062131282,0.0011212124221505,-0.00119700901850887,0.00574899705669185,-0.00418943075197303,1
"GSM1933032",0.000142509780960699,-0.00520209596764658,0.0108682872874521,0.00537126101165153,0.000957680326947747,-0.00495303392787095,-0.00431946810578552,0.000903699797289282,0.000541817432112631,0.00277661572886983,-0.00131288740531794,-0.00843837745182096,0.00851367428765703,-0.00217501153872778,-0.00051308454911242,-0.000621552018481453,-7.12357163226324e-05,-0.00466235275636242,-0.00724013543358269,-0.000272979369400493,0.00250763015856086,0.00124835706802116,0.00213821648164951,-0.00493609466969165,0.00608567775823086,0.00115167519714073,-0.00122560716930702,0.00549997551133532,-0.00412192622897543,1
"GSM1933033",0.00015538733758267,-0.00550724728914902,0.00871053894432976,0.00556531247518352,0.00106514147603966,-0.00399769533106985,-0.00390060612643895,0.000922929024343323,0.000552426349368676,0.00251267926163892,-0.00138453691140016,-0.00842469915876446,0.00782294768031306,-0.00195899406728866,-0.000513381845211828,-0.000597121429906671,-7.15855050272301e-05,-0.00476059297311467,-0.00726866705389893,-0.000261357295493603,0.00244199012586351,0.00111146351977519,0.00205331262075274,-0.00503683697452868,0.00560841095137477,0.00109846455637548,-0.0012527049992414,0.00523605522308022,-0.00401943372821175,1
"GSM1933034",0.0001131866241192,-0.00567244203641634,0.0102855621976223,0.00555397573194535,0.0010718043347525,-0.00530714833009623,-0.00405878289281402,0.000918378773975186,0.000630765228298001,0.00254804003339118,-0.00134132774347481,-0.00899001471443478,0.00816071313644859,-0.00209923026994853,-0.000528359863089577,-0.000618275906880435,-6.87478886199208e-05,-0.00499224713475481,-0.00737988062274704,-0.000256071857792104,0.00251493433749421,0.00109871213402026,0.00196292268212319,-0.00555279625380909,0.00614632563944611,0.00114915258309086,-0.00122163058597974,0.00546987397810726,-0.00424300484760025,1
"GSM1933036",0.000164163630659311,-0.00638479865434402,0.00986681535525763,0.00563175722783714,0.000922344573331239,-0.00438622163234068,-0.00388514214779609,0.000889090134911204,0.000539249816700814,0.00262160653068552,-0.00136020542544377,-0.00944544786006487,0.00847699038524647,-0.00208777282625272,-0.000525544447683428,-0.000579448150484698,-7.08973961283064e-05,-0.0045550343036168,-0.00725352806148863,-0.000260341951767533,0.00254540913781507,0.0011708805245713,0.00190599424427539,-0.00539365165643768,0.00637369789435595,0.00133757298042279,-0.0012857573888362,0.00572906711716998,-0.00421809864436522,1
"GSM1933037",0.000110017536488989,-0.00593103113083955,0.00924789772127773,0.00571869344001456,0.000858619492206389,-0.00536421979247982,-0.00409396877578194,0.000927254416263383,0.000613134944142208,0.00233232929017489,-0.00136972826138989,-0.0093073260242045,0.00770558780611641,-0.00198120345364625,-0.000505959299665115,-0.000569162590310841,-7.30234244841779e-05,-0.00500411887430062,-0.00722891175466706,-0.000266498198456793,0.00235124506773398,0.00104755114275445,0.00204529919808944,-0.00522050555889444,0.00604359447537855,0.00112700683361834,-0.00122042724267891,0.0051674440225907,-0.00430555082043355,0
"GSM1933038",9.54660472677339e-05,-0.00675888548924626,0.00957946886720417,0.00566616904220344,0.000846280845495935,-0.00509206508528186,-0.0044148292488762,0.000927310226494843,0.000571798124085773,0.00246573870722051,-0.00144114229184817,-0.00863942956870578,0.00787655681614979,-0.00206657448246196,-0.000753785762122352,-0.000470865443727122,-6.94215352530739e-05,-0.00498701149027026,-0.00719602321203543,-0.000274752475283526,0.00232956040296105,0.00107558815222681,0.00197344372714065,-0.00602901099282664,0.00609016852716997,0.00107651855922838,-0.00118468018800374,0.00514381096043528,-0.00422464675285987,0
